iter	MultiClass
0	0.6858857125
1	0.6780095305
2	0.6715652697
3	0.6647414922
4	0.6578294761
5	0.6509291077
6	0.6449651471
7	0.6391750557
8	0.6341165689
9	0.6289635629
10	0.6246395207
11	0.6200912281
12	0.6159641264
13	0.6112118187
14	0.6069367469
15	0.6028324693
16	0.5991818991
17	0.5955555497
18	0.5919738317
19	0.5883387783
20	0.585071968
21	0.5816925012
22	0.5790721094
23	0.5762888632
24	0.5734404473
25	0.5705438325
26	0.5678900834
27	0.565647885
28	0.563150768
29	0.560460372
30	0.557950354
31	0.5557311568
32	0.5536334978
33	0.5516303564
34	0.5499182051
35	0.5479957102
36	0.5461916703
37	0.5444250224
38	0.5427783262
39	0.5409231041
40	0.5392346471
41	0.5375421053
42	0.5360130154
43	0.534563115
44	0.5328914361
45	0.5315753517
46	0.5304640998
47	0.5291332818
48	0.5281069731
49	0.5269373959
50	0.5258659573
51	0.5247043546
52	0.5234880931
53	0.5221314809
54	0.521312919
55	0.5200617962
56	0.5189623862
57	0.5179674846
58	0.5172468742
59	0.5161415722
60	0.5150742513
61	0.5141452735
62	0.5134296675
63	0.5127936533
64	0.5118547435
65	0.5111409102
66	0.5102793982
67	0.5094691768
68	0.5087401208
69	0.5078052532
70	0.5070024857
71	0.5061582163
72	0.505491447
73	0.5047560608
74	0.5039869684
75	0.5035863484
76	0.5029011851
77	0.5021192812
78	0.5016349938
79	0.5011333762
80	0.5004780334
81	0.4998418584
82	0.4994067635
83	0.4987119091
84	0.4983483043
85	0.4977084992
86	0.4972230335
87	0.496703033
88	0.4961588847
89	0.4955738224
90	0.4950162251
91	0.4943614868
92	0.4938272599
93	0.4932204145
94	0.4927212658
95	0.4921554417
96	0.4916481506
97	0.4912347033
98	0.4907870657
99	0.4903934063
100	0.4897749436
101	0.4893608297
102	0.4889763582
103	0.4884967927
104	0.4881000321
105	0.4876102976
106	0.4872919878
107	0.486942869
108	0.4865497025
109	0.4860926296
110	0.4858683259
111	0.4854645413
112	0.4850949448
113	0.4848481988
114	0.4844114675
115	0.4839306949
116	0.4836039997
117	0.4832620823
118	0.4829171063
119	0.4824680682
120	0.4819778833
121	0.4817064813
122	0.4814046462
123	0.4810039255
124	0.4807906769
125	0.4803008677
126	0.4798216404
127	0.4795589526
128	0.4793116047
129	0.4789103858
130	0.4786859727
131	0.4783481888
132	0.4780404242
133	0.4776840134
134	0.4773161056
135	0.4770283472
136	0.4767539324
137	0.4765914047
138	0.4762609607
139	0.4758304827
140	0.4756781217
141	0.4752909299
142	0.4749649819
143	0.474651599
144	0.4743413856
145	0.4740771069
146	0.4737964813
147	0.4735407139
148	0.473302244
149	0.4730404221
150	0.4727720997
151	0.4724022883
152	0.4721554609
153	0.4719101089
154	0.4715889795
155	0.4711591025
156	0.4708718174
157	0.470550145
158	0.4703500193
159	0.4700068399
160	0.4697993376
161	0.4694852867
162	0.4694126474
163	0.4690417779
164	0.4688025842
165	0.4684888218
166	0.4683065342
167	0.4680334142
168	0.4678396998
169	0.46753675
170	0.4671953934
171	0.4669664368
172	0.4667856619
173	0.4665451666
174	0.4662831057
175	0.4659431715
176	0.4657778504
177	0.4655769666
178	0.4653904468
179	0.4651560462
180	0.4649324043
181	0.4647751203
182	0.4646072105
183	0.464369385
184	0.4642074139
185	0.4639094576
186	0.4636965966
187	0.4634386704
188	0.4631904103
189	0.4629977683
190	0.4628104965
191	0.4627383566
192	0.4625410325
193	0.4623217693
194	0.462041116
195	0.4616593486
196	0.4614807223
197	0.4611733124
198	0.4609008896
199	0.4605892176
200	0.4604052064
201	0.4601714623
202	0.460008183
203	0.4598195007
204	0.4595337773
205	0.4593204399
206	0.4591587992
207	0.4589155926
208	0.4587936801
209	0.458664733
210	0.4584492372
211	0.4581949961
212	0.4580280131
213	0.4578085671
214	0.4575631787
215	0.4572916878
216	0.4571322529
217	0.456969332
218	0.4567890411
219	0.4565824646
220	0.4563570214
221	0.4561189617
222	0.4558730809
223	0.4556573826
224	0.4555178722
225	0.4552702905
226	0.4551475188
227	0.4549799906
228	0.4547831523
229	0.4545046331
230	0.4543393304
231	0.4541201907
232	0.4538420633
233	0.4535978598
234	0.4534836188
235	0.4532693515
236	0.4530135798
237	0.4528323865
238	0.4526518185
239	0.4524144169
240	0.4522305547
241	0.4521071216
242	0.4518847193
243	0.4516567102
244	0.4515177407
245	0.4511932332
246	0.4509492235
247	0.4507466613
248	0.4506088997
249	0.4503876202
250	0.4502466542
251	0.4499453181
252	0.4497049822
253	0.449439491
254	0.4492519428
255	0.4490709733
256	0.4489147295
257	0.4487281564
258	0.4485168778
259	0.4483605892
260	0.4481819962
261	0.4480208698
262	0.4477418976
263	0.44750166
264	0.4473024977
265	0.4470525976
266	0.446773361
267	0.4466314793
268	0.4464234925
269	0.4462921259
270	0.4460624112
271	0.4458766094
272	0.4456626908
273	0.4453222912
274	0.4451303701
275	0.444881567
276	0.4447105678
277	0.4445025526
278	0.4443055743
279	0.4440829059
280	0.4438631326
281	0.4437776108
282	0.4436535822
283	0.4434397721
284	0.4431555642
285	0.4429603341
286	0.4427402583
287	0.4425891227
288	0.4423770079
289	0.4421953799
290	0.4419703327
291	0.4416669902
292	0.4415092201
293	0.4413677305
294	0.4411095238
295	0.4410027151
296	0.4407320685
297	0.4405128646
298	0.4402130871
299	0.4399884557
300	0.4397474983
301	0.4395656613
302	0.4393606952
303	0.4391142754
304	0.4390014243
305	0.4388026861
306	0.4385916981
307	0.4382847516
308	0.438094464
309	0.437829271
310	0.4375832056
311	0.4374009623
312	0.4372405538
