iter	Passed	Remaining
0	30	92181
1	66	99213
2	81	81748
3	92	69395
4	100	59953
5	107	53509
6	114	49022
7	121	45606
8	129	43202
9	137	41074
10	144	39244
11	151	37824
12	158	36505
13	167	35674
14	174	34767
15	181	33914
16	189	33226
17	196	32575
18	203	31962
19	211	31447
20	218	31013
21	228	30981
22	237	30769
23	246	30592
24	253	30179
25	266	30481
26	271	29881
27	277	29436
28	281	28878
29	286	28329
30	290	27836
31	296	27464
32	300	27025
33	307	26799
34	311	26408
35	316	26035
36	320	25701
37	325	25352
38	329	25027
39	334	24729
40	339	24499
41	343	24207
42	347	23929
43	352	23663
44	356	23418
45	360	23181
46	364	22875
47	368	22684
48	373	22473
49	377	22274
50	381	22080
51	386	21892
52	390	21704
53	395	21573
54	403	21602
55	414	21809
56	430	22238
57	439	22294
58	456	22761
59	466	22839
60	474	22869
61	482	22860
62	508	23720
63	516	23706
64	525	23745
65	530	23574
66	534	23411
67	539	23258
68	543	23094
69	547	22931
70	552	22776
71	556	22633
72	560	22483
73	564	22331
74	569	22192
75	573	22051
76	577	21921
77	581	21789
78	585	21663
79	590	21542
80	594	21424
81	598	21304
82	602	21187
83	607	21079
84	611	20967
85	615	20857
86	621	20807
87	627	20749
88	631	20648
89	635	20554
90	641	20513
91	648	20492
92	653	20442
93	660	20408
94	665	20343
95	669	20254
96	673	20169
97	678	20087
98	683	20016
99	687	19931
100	691	19845
101	695	19764
102	699	19684
103	704	19607
104	708	19529
105	712	19454
106	716	19380
107	720	19304
108	725	19242
109	729	19173
110	734	19108
111	738	19043
112	743	18987
113	747	18923
114	751	18859
115	756	18796
116	760	18735
117	764	18674
118	769	18619
119	773	18561
120	777	18502
121	781	18445
122	786	18385
123	791	18360
124	795	18303
125	800	18248
126	804	18194
127	808	18138
128	812	18087
129	816	18034
130	821	17981
131	825	17926
132	829	17880
133	833	17831
134	838	17785
135	843	17753
136	847	17714
137	851	17667
138	855	17617
139	860	17571
140	864	17524
141	868	17480
142	872	17432
143	877	17398
144	881	17354
145	885	17309
146	889	17267
147	893	17225
148	897	17179
149	902	17138
150	906	17095
151	910	17055
152	915	17031
153	919	16990
154	923	16954
155	927	16916
156	932	16879
157	937	16858
158	941	16822
159	945	16786
160	949	16751
161	965	16908
162	970	16886
163	978	16916
164	986	16945
165	1002	17119
166	1013	17191
167	1022	17236
168	1030	17267
169	1040	17322
170	1048	17338
171	1056	17376
172	1069	17479
173	1080	17549
174	1094	17667
175	1103	17707
176	1113	17764
177	1126	17864
178	1131	17829
179	1135	17791
180	1139	17753
181	1144	17714
182	1148	17676
183	1152	17639
184	1157	17610
185	1161	17575
186	1165	17536
187	1170	17501
188	1174	17464
189	1178	17429
190	1182	17397
191	1187	17361
192	1191	17327
193	1195	17294
194	1200	17261
195	1204	17227
196	1208	17193
197	1212	17160
198	1216	17128
199	1221	17096
200	1225	17067
201	1230	17040
202	1234	17007
203	1238	16976
204	1242	16945
205	1247	16916
206	1251	16886
207	1257	16874
208	1261	16844
209	1269	16863
210	1273	16836
211	1277	16805
212	1282	16779
213	1286	16752
214	1291	16723
215	1295	16694
216	1299	16670
217	1304	16642
218	1308	16621
219	1313	16593
220	1317	16565
221	1321	16542
222	1326	16514
223	1330	16487
224	1334	16460
225	1339	16435
226	1343	16411
227	1347	16384
228	1351	16358
229	1356	16332
230	1360	16307
231	1364	16283
232	1370	16273
233	1375	16256
234	1379	16231
235	1383	16206
236	1388	16183
237	1392	16158
238	1396	16135
239	1401	16120
240	1406	16098
241	1410	16074
242	1414	16051
243	1419	16037
244	1424	16020
245	1428	15996
246	1433	15972
247	1437	15956
248	1442	15935
249	1446	15912
250	1450	15888
251	1455	15869
252	1459	15849
253	1463	15826
254	1468	15803
255	1472	15781
256	1476	15759
257	1480	15736
258	1484	15715
259	1489	15695
260	1493	15673
261	1506	15744
262	1514	15764
263	1522	15778
264	1531	15804
265	1544	15875
266	1558	15955
267	1569	16003
268	1579	16031
269	1589	16074
270	1600	16120
271	1609	16139
272	1619	16178
273	1644	16357
274	1653	16388
275	1662	16407
276	1666	16382
277	1670	16360
278	1675	16344
279	1680	16320
280	1684	16296
281	1688	16271
282	1692	16248
283	1696	16224
284	1700	16202
285	1704	16179
286	1709	16156
287	1713	16134
288	1717	16111
289	1721	16090
290	1726	16070
291	1730	16047
292	1734	16027
293	1738	16005
294	1743	15983
295	1747	15961
296	1751	15939
297	1755	15917
298	1759	15894
299	1764	15876
300	1768	15854
301	1772	15832
302	1776	15810
303	1780	15789
304	1784	15767
305	1788	15746
306	1792	15724
307	1796	15703
308	1800	15683
309	1805	15662
310	1809	15644
311	1813	15623
312	1817	15604
313	1821	15584
314	1826	15565
315	1830	15545
316	1834	15525
317	1838	15505
318	1842	15486
319	1846	15468
320	1851	15448
321	1855	15429
322	1859	15409
323	1863	15393
324	1868	15375
325	1872	15357
326	1876	15339
327	1880	15321
328	1885	15307
329	1889	15289
330	1893	15271
331	1898	15254
332	1902	15236
333	1907	15227
334	1912	15211
335	1916	15193
336	1920	15177
337	1924	15160
338	1929	15144
339	1933	15127
340	1957	15264
341	1971	15322
342	1981	15346
343	1988	15355
344	1996	15366
345	2001	15349
346	2005	15331
347	2009	15313
348	2013	15295
349	2017	15277
350	2022	15260
351	2026	15242
352	2039	15293
353	2057	15376
354	2066	15399
355	2080	15450
356	2088	15460
357	2096	15475
358	2113	15548
359	2119	15545
360	2124	15528
361	2128	15511
362	2132	15494
363	2137	15476
364	2141	15458
365	2145	15443
366	2150	15425
367	2154	15408
368	2158	15391
369	2163	15375
370	2167	15359
371	2171	15342
372	2176	15326
373	2180	15310
374	2184	15294
375	2189	15278
376	2193	15263
377	2198	15246
378	2202	15230
379	2206	15213
380	2210	15196
381	2215	15181
382	2219	15166
383	2223	15150
384	2229	15143
385	2233	15127
386	2238	15113
387	2242	15097
388	2247	15082
389	2251	15065
390	2255	15050
391	2259	15033
392	2263	15017
393	2268	15004
394	2272	14989
395	2277	14974
396	2281	14958
397	2285	14943
398	2290	14929
399	2294	14914
400	2298	14899
401	2303	14884
402	2307	14869
403	2311	14854
404	2315	14839
405	2320	14823
406	2324	14809
407	2328	14795
408	2333	14779
409	2337	14768
410	2342	14754
411	2346	14739
412	2350	14725
413	2355	14711
414	2359	14696
415	2363	14681
416	2368	14668
417	2373	14659
418	2377	14645
419	2381	14631
420	2386	14619
421	2390	14605
422	2396	14599
423	2400	14585
424	2404	14570
425	2409	14557
426	2413	14542
427	2417	14528
428	2422	14515
429	2426	14503
430	2430	14488
431	2435	14475
432	2439	14461
433	2443	14447
434	2447	14434
435	2452	14422
436	2456	14408
437	2461	14395
438	2465	14383
439	2470	14371
440	2474	14357
441	2478	14344
442	2482	14331
443	2487	14319
444	2491	14306
445	2496	14293
446	2500	14281
447	2504	14268
448	2509	14257
449	2513	14244
450	2518	14231
451	2522	14218
452	2526	14204
453	2530	14191
454	2534	14178
455	2539	14166
456	2543	14154
457	2547	14140
458	2552	14128
459	2556	14116
460	2561	14107
461	2565	14094
462	2570	14084
463	2574	14071
464	2578	14058
465	2583	14046
466	2587	14033
467	2591	14020
468	2595	14008
469	2599	13995
470	2604	13986
471	2608	13973
472	2614	13967
473	2618	13954
474	2622	13941
475	2626	13929
476	2631	13916
477	2635	13904
478	2639	13892
479	2643	13880
480	2647	13867
481	2652	13855
482	2656	13843
483	2660	13831
484	2664	13819
485	2669	13806
486	2673	13795
487	2677	13784
488	2681	13771
489	2687	13767
490	2691	13755
491	2695	13742
492	2700	13730
493	2704	13718
494	2708	13706
495	2712	13694
496	2716	13682
497	2720	13670
498	2725	13659
499	2729	13648
500	2733	13635
501	2737	13624
502	2742	13612
503	2746	13600
504	2750	13588
505	2754	13577
506	2758	13564
507	2762	13553
508	2766	13541
509	2771	13531
510	2775	13520
511	2779	13508
512	2784	13497
513	2788	13486
514	2792	13474
515	2796	13462
516	2800	13451
517	2805	13440
518	2809	13428
519	2813	13417
520	2817	13406
521	2821	13394
522	2825	13383
523	2830	13372
524	2834	13363
525	2839	13353
526	2843	13341
527	2847	13330
528	2851	13319
529	2856	13311
530	2860	13300
531	2864	13289
532	2868	13278
533	2873	13269
534	2877	13259
535	2883	13253
536	2887	13242
537	2891	13231
538	2895	13221
539	2899	13210
540	2904	13199
541	2908	13188
542	2912	13178
543	2916	13167
544	2920	13157
545	2956	13288
546	2964	13295
547	2982	13344
548	2990	13352
549	2997	13351
550	3001	13339
551	3005	13328
552	3009	13317
